a,b,c,d,e,f,g,h
1,35,36,0,22,6,12,12
15,2,17,1,41,16,16,14
13,15,28,0,30,0,12,5
8,18,26,0,32,8,11,7
8,31,39,1,19,16,9,18
17,5,22,0,36,19,4,17
1,17,18,0,40,5,5,8
13,6,19,1,39,13,14,4
4,31,35,1,23,3,1,6
1,25,26,0,32,2,1,10
10,19,29,1,29,7,7,11
19,15,34,0,24,17,15,3
14,6,20,0,38,13,13,1
15,36,51,1,7,9,11,9
14,25,39,1,19,5,10,15
15,12,27,1,31,2,2,3
10,16,26,0,32,5,6,8
2,29,31,1,27,3,1,3
16,28,44,0,14,3,15,4
9,18,27,1,31,13,15,12
10,12,22,0,36,2,5,5
7,26,33,1,25,0,5,5
3,26,29,1,29,10,6,19
18,23,41,1,17,5,17,3
15,2,17,1,41,9,9,3
12,18,30,0,28,2,15,18
8,24,32,0,26,4,8,11
16,38,54,0,4,8,13,0
10,21,31,1,27,13,10,8
8,13,21,1,37,8,5,11
9,22,31,1,27,10,17,5
4,7,11,1,47,10,14,10
1,3,4,0,54,5,15,12
11,27,38,0,20,5,18,5
17,39,56,0,2,8,4,16
1,33,34,0,24,0,1,9
17,23,40,0,18,13,11,19
16,1,17,1,41,12,6,1
5,39,44,0,14,6,8,6
12,17,29,1,29,7,4,14
3,11,14,0,44,6,7,17
15,35,50,0,8,13,7,4
14,29,43,1,15,15,7,19
7,29,36,0,22,2,14,3
1,11,12,1,46,8,11,8
19,39,58,0,0,0,9,6
8,18,26,0,32,9,2,8
17,21,38,0,20,4,11,18
13,30,43,1,15,6,3,14
15,26,41,1,17,9,6,15
15,6,21,1,37,6,8,5
3,12,15,1,43,7,2,18
7,14,21,1,37,15,7,8
9,37,46,0,12,16,5,13
9,28,37,1,21,0,16,13
0,14,14,0,44,7,17,13
10,29,39,1,19,16,0,12
3,29,32,0,26,10,12,9
14,15,29,1,29,4,12,12
13,16,29,1,29,11,7,18
18,35,53,1,5,2,9,7
14,22,36,0,22,0,15,10
7,5,12,0,46,12,7,3
19,28,47,1,11,10,1,7
8,23,31,1,27,15,7,15
6,20,26,0,32,6,5,12
18,29,47,1,11,17,7,4
7,36,43,1,15,8,4,10
1,13,14,0,44,14,2,16
9,16,25,1,33,2,19,2
15,7,53,0,36,1,2,1
3,25,28,0,30,15,14,7
9,16,25,1,33,16,14,13
2,13,15,1,43,18,12,6
13,27,40,0,18,6,18,16
9,16,25,1,33,0,0,16
6,18,24,0,34,19,6,10
4,17,21,1,37,12,3,7
11,10,21,1,37,4,11,0
13,5,18,0,40,15,12,16
18,33,51,1,7,18,17,17
8,3,11,1,47,5,7,8
3,12,15,1,43,15,4,10
16,26,42,0,16,15,18,15
12,5,17,1,41,10,13,13
14,26,40,0,18,12,15,2
1,29,30,0,28,5,8,13
6,26,32,0,26,18,8,18
15,12,27,1,31,19,7,15
16,0,16,0,42,19,14,9
8,35,43,1,15,14,4,10
16,13,29,1,29,0,19,5
16,32,48,0,10,7,3,13
7,7,14,0,44,8,9,4
17,6,23,1,35,19,6,6
5,31,36,0,22,10,12,5
4,37,41,1,17,10,13,6
13,34,47,1,11,2,18,7
12,30,42,0,16,15,15,1
2,9,11,1,47,6,4,14
16,36,52,0,6,1,4,8
3,26,29,1,29,19,17,18
16,6,22,0,36,3,9,3
0,5,5,1,53,0,1,13
15,34,49,1,9,1,16,3
15,11,26,0,32,9,12,10
15,30,45,1,13,2,0,9
13,5,18,0,40,16,15,8
9,11,20,0,38,10,12,13
14,11,25,1,33,6,12,16
5,11,16,0,42,0,17,6
15,26,41,1,17,9,9,16
11,36,47,1,11,3,9,3
9,36,45,1,13,19,12,5
10,29,39,1,19,5,3,6
11,8,19,1,39,9,3,19
0,38,38,0,20,0,16,2
2,21,23,1,35,2,4,7
4,21,25,1,33,4,10,8
2,28,30,0,28,1,5,16
8,30,38,0,20,14,4,9
13,38,51,1,7,18,11,19
13,23,36,0,22,19,16,14
9,24,33,1,25,5,8,14
17,29,46,0,12,15,2,15
11,10,21,1,37,10,4,3
1,12,13,1,45,0,3,8
15,25,40,0,18,1,17,11
11,2,13,1,45,10,6,4
12,12,24,0,34,8,7,2
11,28,39,1,19,0,1,2
11,39,50,0,8,18,8,15
1,20,21,1,37,14,18,13
11,15,26,0,32,10,8,5
15,17,32,0,26,19,13,14
6,27,33,1,25,19,3,13
12,21,33,1,25,19,2,16
0,0,0,0,58,5,14,18
6,21,27,1,31,17,1,17
8,16,24,0,34,10,8,3
19,28,47,1,11,14,6,15
4,35,39,1,19,17,0,7
5,38,43,1,15,3,10,8
8,24,32,0,26,8,19,12
19,14,33,1,25,2,1,12
17,17,34,0,24,5,16,8
0,7,7,1,51,8,10,19
4,37,41,1,17,17,14,3
16,33,49,1,9,17,1,1
1,34,35,1,23,7,17,0
17,13,30,0,28,6,0,16
5,12,17,1,41,10,18,8
