a,b,c,d,e,f,g,h
3,0,3,1,37,12,12,6
30,0,30,0,10,16,14,4
26,0,26,0,14,12,5,10
17,0,17,1,23,11,7,13
17,0,17,1,23,9,18,5
34,0,34,0,6,4,17,15
3,0,3,1,37,5,8,12
27,0,27,1,13,14,4,3
8,0,8,0,32,1,6,18
3,0,3,1,37,1,10,0
21,0,21,1,19,7,11,13
39,0,39,1,1,15,3,8
29,0,29,1,11,13,1,13
30,1,31,1,9,11,9,15
28,0,28,0,12,10,15,13
31,0,31,1,9,2,3,13
20,0,20,0,20,6,8,16
5,0,5,1,35,1,3,14
33,0,33,1,7,15,4,16
18,0,18,0,22,15,12,8
20,0,20,0,20,5,5,4
14,0,14,0,26,5,5,4
7,1,8,0,32,6,19,12
37,0,37,1,3,17,3,10
31,0,31,1,9,9,3,1
25,0,25,1,15,15,18,4
16,0,16,0,24,8,11,19
32,0,32,0,8,13,0,14
21,0,21,1,19,10,8,15
17,0,17,1,23,5,11,3
18,0,18,0,22,17,5,1
9,0,9,1,31,14,10,5
3,0,3,1,37,15,12,17
22,0,22,0,18,18,5,10
35,0,35,1,5,4,16,15
2,0,2,0,38,1,9,9
34,0,34,0,6,11,19,9
33,0,33,1,7,6,1,12
11,0,11,1,29,8,6,19
25,0,25,1,15,4,14,8
6,0,6,0,34,7,17,11
30,0,30,0,10,7,4,18
28,0,28,0,12,7,19,7
14,0,14,0,26,14,3,16
2,0,2,0,38,11,8,10
38,0,38,0,2,9,6,17
17,0,17,1,23,2,8,9
35,0,35,1,5,11,18,12
27,0,27,1,13,3,14,6
31,0,31,1,9,6,15,12
30,0,30,0,10,8,5,6
7,0,7,1,33,2,18,12
14,0,14,0,26,7,8,15
18,0,18,0,22,5,13,8
19,0,19,1,21,16,13,8
1,0,1,1,39,17,13,6
21,0,21,1,19,0,12,14
6,0,6,0,34,12,9,11
29,0,29,1,11,12,12,10
27,0,27,1,13,7,18,0
36,1,37,1,3,9,7,2
29,0,29,1,11,15,10,0
14,0,14,0,26,7,3,17
38,0,38,0,2,1,7,17
16,0,16,0,24,7,15,1
13,1,14,0,26,5,12,0
36,0,36,0,4,7,4,15
14,0,14,0,26,4,10,10
3,0,3,1,37,2,16,6
18,0,18,0,22,19,2,12
31,0,31,1,9,2,1,4
7,0,7,1,33,14,7,3
18,0,18,0,22,14,13,7
5,0,5,1,35,12,6,17
27,0,27,1,13,18,16,15
19,0,19,1,21,0,16,3
13,0,13,1,27,6,10,11
9,0,9,1,31,3,7,17
22,0,22,0,18,11,0,19
26,0,26,0,14,12,16,15
37,0,37,1,3,17,17,2
17,0,17,1,23,7,8,4
6,0,6,0,34,4,10,4
33,0,33,1,7,18,15,3
25,1,26,0,14,13,13,3
28,0,28,0,12,15,2,6
3,0,3,1,37,8,13,11
12,0,12,0,28,8,18,7
30,0,30,0,10,7,15,8
33,0,33,1,7,14,9,4
17,0,17,1,23,4,10,3
32,0,32,0,8,19,5,19
33,0,33,1,7,3,13,11
15,0,15,1,25,9,4,4
35,0,35,1,5,6,6,16
11,0,11,1,29,12,5,16
9,0,9,1,31,13,6,19
27,0,27,1,13,18,7,3
25,0,25,1,15,15,1,12
5,0,5,1,35,4,14,19
33,0,33,1,7,4,8,16
7,0,7,1,33,17,18,4
32,0,32,0,8,9,3,17
0,0,0,1,40,1,13,8
31,0,31,1,9,16,3,9
31,0,31,1,9,12,10,11
31,0,31,1,9,0,9,15
26,0,26,0,14,15,8,2
18,1,19,1,21,12,13,10
28,0,28,0,12,12,16,16
11,0,11,1,29,17,6,10
31,0,31,1,9,9,16,5
22,0,22,0,18,9,3,1
18,0,18,0,22,12,5,10
20,1,21,1,19,3,6,14
22,0,22,0,18,3,19,10
1,0,1,1,39,16,2,19
5,0,5,1,35,4,7,12
9,0,9,1,31,10,8,10
4,0,4,0,36,5,16,1
17,0,17,1,23,4,9,11
26,0,26,0,14,11,19,3
26,0,26,0,14,16,14,14
18,0,18,0,22,8,14,3
34,0,34,0,6,2,15,18
22,0,22,0,18,4,3,6
3,0,3,1,37,3,8,8
30,0,30,0,10,17,11,2
22,0,22,0,18,6,4,4
25,1,26,0,14,7,2,18
22,1,31,1,17,1,2,5
22,0,22,0,18,8,15,10
3,0,3,1,37,18,13,19
22,0,22,0,18,8,5,12
31,1,32,0,8,13,14,0
12,0,12,0,28,3,13,7
24,0,24,0,16,2,16,7
1,0,1,1,39,14,18,5
13,0,13,1,27,1,17,4
17,0,17,1,23,8,3,10
39,0,39,1,1,6,15,7
8,0,8,0,32,0,7,5
11,0,11,1,29,10,8,8
16,0,16,0,24,19,12,6
39,0,39,1,1,1,12,4
34,0,34,0,6,16,8,9
1,0,1,1,39,10,19,18
9,0,9,1,31,14,3,10
32,0,32,0,8,1,1,11
2,0,2,0,38,17,0,19
34,0,34,0,6,0,16,12
11,0,11,1,29,18,8,4
36,0,36,0,4,13,8,7
11,0,11,1,29,6,12,9
17,0,17,1,23,0,8,9
26,0,26,0,14,12,11,2
5,0,5,1,35,1,1,2
22,0,22,0,18,12,3,6
20,0,20,0,20,15,18,18
31,0,31,1,9,5,9,14
39,0,39,1,1,4,3,16
26,0,26,0,14,4,7,3
16,0,16,0,24,4,6,8
16,0,16,0,24,2,5,11
16,0,16,0,24,4,5,8
32,0,32,0,8,13,14,8
12,0,12,0,28,6,2,7
6,0,6,0,34,15,6,1
13,0,13,1,27,16,9,17
0,0,0,0,40,15,10,18
4,0,4,0,36,10,17,1
3,0,3,1,37,6,18,8
30,0,30,0,10,18,5,10
28,0,28,0,12,4,10,15
27,0,27,1,13,9,0,19
18,0,18,0,22,9,12,8
28,0,28,0,12,14,3,14
