id;name;addr;city;phone;type;ID_DEAD;TIMESTAMP;NEW REFERENCE
142;'103 west';'103 w. paces ferry rd.';atlanta;404-233-5993;continental;;;
709;'20 mott';'20 mott st.  between bowery and pell st.';'new york';212/964-0380;asian;;;
557;'21 club';'21 w. 52nd st.';'new york';212/582-7200;american;;;
242;'21 club';'21 w. 52nd st.';'new york city';212-582-7200;'american (new)';;;
987;2223;'2223 market st.';'san francisco';415/431-0692;american;;;
710;'9 jones street';'9 jones st.';'new york';212/989-1220;american;;;
913;abbey;'163 ponce de leon ave.';atlanta;404/876-8532;international;;;
608;abruzzi;'2355 peachtree rd.  peachtree battle shopping center';atlanta;404/261-8186;italian;;;
293;abruzzi;'2355 peachtree rd. ne';atlanta;404-261-8186;italian;;;
988;acquarello;'1722 sacramento st.';'san francisco';415/567-5432;italian;;;
649;'adriano\'s ristorante';'2930 beverly glen circle';'los angeles';310/475-9807;italian;;;
711;adrienne;'700 5th ave. at 55th st.';'new york';212/903-3918;french;;;
69;'afghan kebab house';'764 ninth ave.';'new york city';212-307-1612;afghan;;;
712;agrotikon;'322 e. 14 st.  between 1st and 2nd aves.';'new york';212/473-2602;mediterranean;;;
713;aja;'937 broadway at 22nd st.';'new york';212/473-8388;american;;;
628;'alain rondelli';'126 clement st.';'san francisco';415/387-0408;french;;;
313;'alain rondelli';'126 clement st.';'san francisco';415-387-0408;'french (new)';;;
714;alamo;'304 e. 48th st.';'new york';'212/ 759-0590';mexican;;;
914;'aleck\'s barbecue heaven';'783 martin luther king jr. dr.';atlanta;404/525-2062;barbecue;;;
715;'alley\'s end';'311 w. 17th st.';'new york';212/627-8899;american;;;
143;'alon\'s at the terrace';'659 peachtree st.';atlanta;404-724-0444;sandwiches;;;
716;'ambassador grill';'1 united nations plaza at 44th st.';'new york';212/702-5014;american;;;
717;'american place';'2 park ave. at 32nd st.';'new york';212/684-2122;american;;;
718;'anche vivolo';'222 e. 58th st.  between 2nd and 3rd aves.';'new york';212/308-0112;italian;;;
123;'andre\'s french restaurant';'401 s. 6th st.';'las vegas';702-385-5016;'french (classic)';;;
915;'annie\'s thai castle';'3195 roswell rd.';atlanta;404/264-9546;asian;;;
916;anthonys;'3109 piedmont rd.  just south of peachtree rd.';atlanta;404/262-7379;american;;;
957;'antonio\'s';'3700 w. flamingo';'las vegas';702/252-7737;italian;;;
1;'apple pan  the';'10801 w. pico blvd.';'west la';310-475-3585;american;;;
629;aqua;'252 california st.';'san francisco';415/956-9662;seafood;;;
314;aqua;'252 california st.';'san francisco';415-956-9662;'american (new)';;;
558;aquavit;'13 w. 54th st.';'new york';212/307-7311;continental;;;
243;aquavit;'13 w. 54th st.';'new york city';212-307-7311;scandinavian;;;
70;arcadia;'21 e. 62nd st.';'new york city';212-223-2900;'american (new)';;;
719;arizona;'206 206 e. 60th st.';'new york';212/838-0440;american;;;
534;'arnie morton\'s of chicago';'435 s. la cienega blv.';'los angeles';310/246-1501;american;TRUE;16882626262;999
219;'arnie morton\'s of chicago';'435 s. la cienega blvd.';LA';310-246-1501;steakhouses;TRUE;16882626261;999
689;arnie morton's of Ch';435 s. l. c. blv.';Los angeles';310:246:1501;steakhouse;TRUE;16882626261;999
999;Arnie Morton's of Chicago';'435 s. la cienega blvd.';Los Angeles';310-246-1501;steakhouse;;;
220;'art\'s deli';'12224 ventura blvd.';'studio city';818-762-1221;delis;;;
535;'art\'s delicatessen';'12224 ventura blvd.';'studio city';818/762-1221;american;;;
720;'arturo\'s';'106 w. houston st.  off thompson st.';'new york';212/677-3820;italian;;;
2;'asahi ramen';'2027 sawtelle blvd.';'west la';310-479-2231;'noodle shops';;;
917;'atlanta fish market';'265 pharr rd.';atlanta;404/262-3165;american;;;
721;'au mandarin';'200-250 vesey st. world financial center';'new york';212/385-0313;asian;;;
559;aureole;'34 e. 61st st.';'new york';'212/ 319-1660';american;;;
244;aureole;'34 e. 61st st.';'new york city';212-319-1660;'american (new)';;;
609;bacchanalia;'3125 piedmont rd.  near peachtree rd.';atlanta;404/365-0410;international;;;
294;bacchanalia;'3125 piedmont rd.';atlanta;404-365-0410;californian;;;
3;'baja fresh';'3345 kimber dr.';'westlake village';805-498-4049;mexican;;;
144;'baker\'s cajun cafe';'1134 euclid ave.';atlanta;404-223-5039;cajun/creole;;;
958;'bally\'s big kitchen';'3645 las vegas blvd. s';'las vegas';702/739-4111;buffets;;;
959;'bamboo garden';'4850 flamingo rd.';'las vegas';702/871-3262;asian;;;
722;'bar anise';'1022 3rd ave.  between 60th and 61st sts.';'new york';212/355-1112;mediterranean;;;
145;'barbecue kitchen';'1437 virginia ave.';atlanta;404-766-9906;bbq;;;
723;barbetta;'321 w. 46th st.';'new york';212/246-9171;italian;;;
989;'bardelli\'s';'243 o\'farrell st.';'san francisco';415/982-0243;'old san francisco';;;
650;'barney greengrass';'9570 wilshire blvd.';'beverly hills';310/777-5877;american;;;
960;'battista\'s hole in the wall';'4041 audrie st. at flamingo rd.';'las vegas';702/732-1424;italian;;;
651;beaurivage;'26025 pacific coast hwy.';malibu;310/456-5733;french;;;
918;'beesley\'s of buckhead';'260 e. paces ferry road';atlanta;404/264-1334;continental;;;
221;'bel-air hotel';'701 stone canyon rd.';'bel air';310-472-1211;californian;;;
4;'belvedere  the';'9882 little santa monica blvd.';'beverly hills';310-788-2306;'pacific new wave';;;
724;'ben benson\'s';'123 w. 52nd st.';'new york';212/581-8888;american;;;
5;'benita\'s frites';'1433 third st. promenade';'santa monica';310-458-2889;'fast food';;;
71;'benny\'s burritos';'93 ave. a';'new york city';212-254-2054;mexican;;;
6;'bernard\'s';'515 s. olive st.';'los angeles';213-612-1580;continental;;;
919;'bertolini\'s';'3500 peachtree rd.  phipps plaza';atlanta;404/233-2333;italian;;;
961;'bertolini\'s';'3570 las vegas blvd. s';'las vegas';702/735-4663;italian;;;
990;betelnut;'2030 union st.';'san francisco';415/929-8855;asian;;;
725;'big cup';'228 8th ave.  between 21st and 22nd sts.';'new york';212/206-0059;'coffee bar';;;
